LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G000372825	s__Methylobacterium sp. 77
G000372845	s__Methylocystis rosea
G000372865	s__Methylosarcina fibrata
G000372885	s__Methyloversatilis thermotolerans
G000372965	s__Hoeflea sp. 108
G000373005	s__Burkholderia sp. JPY347
G000373045	s__Leptotrichia shahii
G000373105	s__Lewinella persica
G000373185	s__Prevotella paludivivens
G000373205	s__Meiothermus timidus
G000373245	s__Echinicola pacifica
G000373265	s__Pontibacter roseus
G000373345	s__Leptotrichia wadei
G000373365	s__Frankia discariae
G000373485	g__Dasania
G000373545	s__Spirochaeta alkalica
G000373565	s__Streptomyces sp. HmicA12
G000373665	s__Streptomyces sp. BoleA5
G000373745	s__Oligella ureolytica
G000373765	s__Legionella shakespearei
G000373785	s__Erysipelothrix tonsillarum
G000373805	s__Corynebacterium pilosum
G000373885	s__Blautia producta
G000373925	g__Actinopolymorpha
G000373965	g__Uliginosibacterium
G000373985	s__Desulfobacter curvatus
G000374005	s__Kiloniella laminariae
G000374025	s__Spirosoma panaciterrae
G000374045	g__Segetibacter
G000374065	s__Spirosoma luteum
G000374085	s__Spirosoma spitsbergense
G000374125	s__Niabella aurantiaca
G000374145	g__Meganema
G000374165	s__Frankia elaeagni
G000374305	s__Actinomadura flavalba
G000374325	g__Allofustis
G000374345	s__Bacillus acidiproducens
G000374405	s__Riemerella columbina
G000374445	s__Actinokineospora enzanensis
G000374465	s__Ahrensia kielensis
G000374485	g__Algicola
G000374525	g__Amorphus
G000374545	g__Anaeromusa
G000374565	s__Bacillus fordii
G000374585	s__Bacteroides barnesiae
G000374625	g__Brachymonas
G000374645	g__Arhodomonas
G000374805	g__Chitiniphilus
G000374825	s__Paenibacillus sanguinis
G000374845	s__Paenibacillus terrigena
G000375365	s__Corynebacterium mastitidis
G000375405	s__Bacteroides propionicifaciens
G000375425	g__Gracilimonas
G000375465	s__Balneola vulgaris
G000375485	s__Desulfovibrio oxyclinae
G000375545	o__Kordiimonadales
G000375685	s__crenarchaeote SCGC AAA261-N23
G000375725	s__Streptomyces sp. LaPpAH-95
G000375745	s__Nitrospina sp. AB-629-B06
G000375765	s__Nitrospina sp. AB-629-B18
G000375825	s__Marinimicrobia bacterium SCGC AB-629-J13
G000375865	s__Sulfurovum sp. SCGC AAA036-F05
G000376105	s__Asticcacaulis benevestitus
G000376125	s__Martelella mediterranea
G000376165	s__gamma proteobacterium SCGC AB-629-K02
G000376225	g__Effusibacillus
G000376245	g__Acaricomes
G000376265	s__Thermus igniterrae
G000376385	s__Desulfurispora thermophila
G000376445	s__Haladaptatus paucihalophilus
G000376545	s__Ruegeria mobilis
G000376565	s__Streptomyces hokutonensis
G000376585	s__Wolbachia endosymbiont of Drosophila simulans
G000376645	g__Mannheimia
G000376665	s__Meiothermus ruber
G000376785	s__Hahella ganghwensis
G000376805	g__Henriciella
G000376825	g__Demetria
G000376885	s__Alloscardovia criceti
G000376945	g__Leeia
G000376965	s__Methanothermococcus thermolithotrophicus
G000376985	s__Streptococcus henryi
G000377005	s__Streptococcus minor
G000377505	s__Paenibacillus massiliensis
G000377645	s__Thiomonas sp. FB-6
G000377705	g__Salsuginibacillus
G000377745	s__Gilvimarinus chinensis
G000377765	s__Gracilibacillus lacisalsi
G000377785	s__Thioalkalivibrio sp. ALJ24
G000377885	s__Thioalkalivibrio sp. AKL17
G000377985	s__Sporolactobacillus vineae
G000378005	s__Coprothermobacter platensis
G000378025	s__Xanthobacteraceae bacterium 501b
G000378045	s__Marinobacterium rhizophilum
G000378085	s__Prevotella loescheii
G000378105	s__Rubritalea marina
G000378125	g__Rudaea
G000378145	s__Saccharibacillus kuerlensis
G000378165	s__Saccharibacter floricola
G000378185	s__Salinimonas chungwhensis
G000378225	s__Methylophilus methylotrophus
G000378245	s__Azoarcus toluclasticus
G000378345	s__Hirschia maritima
G000378385	s__Paenibacillus daejeonensis
G000378405	g__Succinimonas
G000378425	s__Cohnella laeviribosi
G000378465	g__Elioraea
G000378505	s__Halomonas lutea
G000378725	s__Peptoniphilus lacrimalis
G000378745	s__Prevotella amnii
G000378765	s__Psychroflexus tropicus
G000378865	s__actinobacterium SCGC AAA278-I18
G000378885	s__actinobacterium SCGC AAA044-N04
G000378905	s__actinobacterium SCGC AAA028-A23
G000378925	s__actinobacterium SCGC AAA023-D18
G000378965	s__Thioalkalivibrio thiocyanodenitrificans
G000379025	s__Orenia marismortui
G000379125	s__Methylosinus sp. LW4
G000379185	s__Capnocytophaga cynodegmi
G000379225	s__zeta proteobacterium SCGC AB-137-C09
G000379345	s__zeta proteobacterium SCGC AB-602-C20
G000379365	s__Verrucomicrobium sp. 3C
G000379425	s__Corynebacterium lubricantis
G000379445	g__Fangia
G000379465	g__Sciscionella
G000379485	g__Wenxinia
G000379525	g__Lamprocystis
G000379605	s__Rhizobium giardinii
G000379625	g__Actinomycetospora
G000379645	s__Actinoplanes globisporus
G000379685	g__Catelliglobosispora
G000379705	s__Corynebacterium caspium
G000379725	s__Cytophaga aurantiaca
G000379765	g__Flexithrix
G000379805	s__Lewinella cohaerens
G000379825	g__Longispora
G000379845	s__Moraxella boevrei
G000379885	s__Nonomuraea coxensis
G000379905	s__Rodentibacter pneumotropicus
G000379965	s__Prevotella nanceiensis
G000379985	s__Streptococcus caballi
G000380005	s__Streptococcus didelphis
G000380025	s__Streptococcus entericus
G000380045	s__Streptococcus marimammalium
G000380065	s__Streptococcus massiliensis
G000380085	s__Streptococcus merionis
G000380105	s__Streptococcus orisratti
G000380125	s__Streptococcus ovis
G000380165	s__Streptomyces vitaminophilus
G000380185	s__Thiothrix flexilis
G000380225	s__filamentous cyanobacterium ESFC-1
G000380245	s__Bacillus massiliogorillae
G000380485	s__Gordonia kroppenstedtii
G000380505	s__Kaistia granuli
G000380565	s__Microbulbifer variabilis
G000380645	g__Smaragdicoccus
G000380705	s__Crenarchaeota archaeon SCGC AAA471-B05
G000380725	s__Fervidibacteria bacterium SCGC AAA471-D06
G000380785	s__Hydrogenedentes bacterium JGI 0000039-J10
G000380965	s__Paenibacillus ginsengihumi
G000380985	s__Proteiniphilum acetatigenes
G000381005	s__Selenomonas bovis
G000381025	s__Streptomyces sulphureus
G000381065	g__Propionispira
G000381085	s__Thiomicrospira arctica
G000381125	g__Caldimonas
G000381265	s__Curvibacter lanceolatus
G000381345	s__Deinococcus apachensis
G000381365	s__Bacteroides salyersiae
G000381525	s__Peptostreptococcus anaerobius
G000381585	s__Acidobacteriaceae bacterium KBS 83
G000381605	s__Acidobacteriaceae bacterium KBS 89
G000381625	s__Acidobacteriaceae bacterium KBS 96
G000381725	s__Fusobacterium russii
G000381745	s__Psychromonas ossibalaenae
G000381765	s__Pseudoclavibacter faecalis
G000381785	s__Amphritea japonica
G000381825	s__Thioalkalivibrio sp. ALJT
G000381885	s__Actinomadura atramentaria
G000381905	s__Paenibacillus fonticola
G000381925	s__Nocardia sp. BMG111209
G000381965	g__Oceanimonas
G000381985	g__Novispirillum
G000382005	s__Pseudoalteromonas piscicida
G000382085	s__[Eubacterium] siraeum
G000382125	g__Eudoraea
G000382145	s__Psychrobacter lutiphocae
G000382165	s__Rheinheimera perlucida
G000382185	s__Bordetella sp. FB-8
G000382225	s__Hymenobacter aerophilus
G000382245	s__Kushneria aurantia
G000382265	s__Loktanella vestfoldensis
G000382305	s__Vitreoscilla stercoraria
G000382325	g__Woodsholea
G000382345	s__Massilia niastensis
G000382385	s__Prevotella maculosa
G000382425	g__Empedobacter
G000382485	s__Sphingomonas sp. Mn802worker
G000382645	s__alpha proteobacterium SCGC AAA300-J04
G000382665	s__Verrucomicrobia bacterium SCGC AAA300-K03
G000382685	s__Verrucomicrobia bacterium SCGC AAA300-O17
G000383095	s__Sphingomonas sp. PR090111-T3T-6A
G000383135	s__alpha proteobacterium SCGC AAA015-O19
G000383155	s__alpha proteobacterium SCGC AAA076-C03
G000383295	s__[Clostridium] sporosphaeroides
G000383315	s__Cryocola sp. 340MFSha3.1
G000383375	s__gamma proteobacterium SCGC AAA076-P09
G000383395	s__gamma proteobacterium SCGC AAA160-D02
G000383415	s__Hyphomicrobium zavarzinii
G000383435	s__Lactobacillus parabrevis
G000383535	s__Nocardia sp. 348MFTsu5.1
G000383675	s__Terracoccus sp. 273MFTsu3.1
G000383715	s__Verrucomicrobia bacterium SCGC AAA164-E04
G000383735	s__Verrucomicrobia bacterium SCGC AAA164-M04
G000383755	s__Verrucomicrobia bacterium SCGC AAA300-N18
G000383795	s__Saccharomonospora saliphila
G000383815	s__actinobacterium SCGC AAA027-J17
G000383835	s__Chloroflexi bacterium SCGC AB-629-P13
G000383855	s__Methylobacter marinus
G000383875	g__Caldibacillus
G000383895	s__Duganella zoogloeoides
G000383915	s__Amycolatopsis benzoatilytica
G000383955	g__Rudanella
G000383975	s__Natronorubrum tibetense
G000384035	s__Actinopolyspora mortivallis
G000384075	g__Methylovulum
G000384115	f__Sporichthyaceae
G000384135	g__Succinispira
G000384175	s__Streptomyces purpureus
G000384195	s__Allobaculum stercoricanis
G000384235	s__Thiomicrospira halophila
G000384315	s__Amycolatopsis nigrescens
G000384335	s__Hyphomicrobium sp. 99
G000384355	s__Methylotenera sp. 1P/1
G000384395	g__Geopsychrobacter
G000384415	s__Cycloclasticus pugetii
G000384475	s__Methylopila sp. M107
G000384495	s__actinobacterium SCGC AAA015-D07
G000384535	s__actinobacterium SCGC AAA027-M14
G000384615	s__alpha proteobacterium SCGC AAA536-G10
G000384635	s__alpha proteobacterium SCGC AAA298-K06
G000384935	s__gamma proteobacterium SCGC AAA076-P13
G000384955	s__gamma proteobacterium SCGC AAA168-I18
G000384995	s__gamma proteobacterium SCGC AAA300-D14
G000385035	s__gamma proteobacterium SCGC AAA536-N21
G000385055	s__gamma proteobacterium SCGC AAA168-P09
G000385115	s__Oceanospirillales bacterium SCGC AAA298-N10
G000385135	g__Promicromonospora
G000385175	s__Salinicoccus albus
G000385215	s__Thioalkalivibrio thiocyanoxidans
G000385295	s__Verrucomicrobia bacterium SCGC AAA164-N20
G000385335	g__Methyloferula
G000385435	s__Bartonella schoenbuchensis
G000385565	s__Archaeoglobus sulfaticallidus
G000385635	g__Vermiphilus
G000385925	s__Streptococcus cristatus
G000387765	g__Caldisalinibacter
G000388115	s__Aeromonas molluscorum
G000388175	s__Holospora undulata
G000389715	s__Rhodococcus rhodnii
G000389735	s__Sulfolobales archaeon Acd1
G000389965	s__Actinoplanes sp. N902-109
G000389985	s__Nocardioides sp. CF8
G000390185	g__Lunatimonas
G000392435	g__Ca. Saccharimonas
G000397065	s__Marinobacter lipolyticus
G000397205	s__Pseudomonas protegens
G000397765	s__Fervidibacteria bacterium JGI 0000001-G10
G000397885	s__Cloacimonetes bacterium SCGC AAA252-O17
G000398025	g__Ca. Paceibacter
G000398305	s__Aminicenantes bacterium SCGC AAA252-O11
G000398345	s__Aminicenantes bacterium SCGC AAA255-E10
G000398765	s__Crenarchaeota archaeon SCGC AAA471-O08
G000398925	s__Butyricicoccus pullicaecorum
G000399765	s__Marine Group I thaumarchaeote SCGC AB-629-I23
G000399825	s__Crenarchaeota archaeon SCGC AAA471-L14
G000400505	s__Dickeya paradisiaca
G000400735	s__Acinetobacter tandoii
G000400795	s__Dickeya solani
G000400935	s__Spiroplasma chrysopicola
G000400955	s__Spiroplasma syrphidicola
G000401015	s__Ca. Poribacteria bacterium WGA-4C
G000401215	s__Clostridium sartagoforme
G000401255	s__Xanthomonas maliensis
G000402075	s__Thaumarchaeota archaeon SCGC AAA007-O23
G000402095	s__Crenarchaeota archaeon SCGC AAA471-L13
G000402115	s__Calescamantes bacterium JGI 0000106-G12
G000402235	s__Atribacteria bacterium SCGC AB-164-A22
G000402275	s__Hydrogenedentes bacterium JGI 0000059-N10
G000402295	g__Ca. Aerophobus
G000402355	p__Ca. Diapherotrites
G000402415	s__Cloacimonetes bacterium JGI 0000014-D06
G000402455	s__Marinimicrobia bacterium SCGC AAA257-N23
G000402755	s__Marinimicrobia bacterium SCGC AAA160-B08
G000402795	s__Marinimicrobia bacterium SCGC AAA160-C11
G000402835	s__Synergistetes bacterium JGI 0000079-D21
G000402875	s__Microgenomates bacterium SCGC AAA011-L05
G000403035	g__Ca. Latescibacter
G000403075	s__Calescamantes bacterium SCGC AAA471-M6
G000403135	s__Arcticibacter svalbardensis
G000403215	s__Lachnospiraceae bacterium A4
G000403255	s__Lachnospiraceae bacterium 3-1
G000403275	s__Lachnospiraceae bacterium 28-4
G000403295	s__Lachnospiraceae bacterium M18-1
G000403315	s__Lachnospiraceae bacterium A2
G000403335	s__Lachnospiraceae bacterium COE1
G000403355	s__Enterorhabdus caecimuris
G000403375	s__Paenibacillus barengoltzii
G000403395	s__Anaerotruncus sp. G3(2012)
G000403415	s__Firmicutes bacterium M10-2
G000403435	s__Oscillibacter sp. 1-3
G000403455	s__Dorea sp. 5-2
G000403475	s__Lachnospiraceae bacterium 3-2
G000403495	s__Lachnospiraceae bacterium 10-1
G000403645	g__Salinarchaeum
G000403845	s__Eubacterium sp. 14-2
G000403885	s__Desulfobulbus sp. Dsb5
G000403925	s__Desulfobulbus sp. oral taxon 041
G000404025	s__Caldicellulosiruptor sp. F32
G000404125	s__Erwinia tracheiphila
G000404165	s__Methanobrevibacter sp. AbM4
G000404225	s__Ca. Methanomassiliicoccus intestinalis
G000404345	s__Aerophobetes bacterium SCGC AAA255-F10
G000404425	s__Armatimonadetes bacterium JGI 0000077-K19
G000404445	s__BRC1 bacterium SCGC AAA257-C11
G000404605	s__Calescamantes bacterium JGI 0000106-M22
G000404665	s__Calescamantes bacterium JGI 0000106-J16
G000404685	s__Calescamantes bacterium JGI 0000106-N7
G000404705	s__EM3 bacterium JGI 0000106-B10
G000404745	s__Cloacimonetes bacterium SCGC AAA252-O02
G000404925	s__Microgenomates bacterium SCGC AAA011-L6
G000405125	s__Hydrogenedentes bacterium JGI 0000077-D07
G000405145	s__Hydrogenedentes bacterium JGI 0000077-O16
G000405325	s__Atribacteria bacterium SCGC AB-164-D21
G000405625	s__Aminicenantes bacterium SCGC AAA255-A06
G000405685	s__Aigarchaeota archaeon JGI 0000106-J15
G000405805	s__Marinimicrobia bacterium SCGC AAA003-L08
G000405885	s__Crenarchaeota archaeon SCGC AAA471-B23
G000405945	g__Ca. Omnitrophus
G000406005	s__Ca. Poribacteria bacterium WGA-3G
G000406925	s__Enterococcus columbae
G000406945	s__Enterococcus dispar
G000407165	s__Enterococcus haemoperoxidus
G000407245	s__Enterococcus avium
G000407285	s__Enterococcus saccharolyticus
G000407485	s__Enterococcus pallens
G000407505	s__Enterococcus phoeniculicola
G000407545	s__Enterococcus gilvus
G000407605	s__Enterococcus sulfureus
G000409565	s__Pseudochrobactrum sp. AO18b
G000409775	s__Halomonas anticariensis
G000410635	s__Comamonas sp. B-9
G000410875	s__Pseudomonas pelagia
G000411155	s__Actinomyces europaeus
G000411295	s__Paenisporosarcina sp. HGH0030
G000411355	s__Coprococcus sp. HPP0048
G000411375	s__Corynebacterium pyruviciproducens
G000411555	s__Atopobium sp. oral taxon 199
G000412185	g__Euryhalocaulis
G000412995	s__Treponema vincentii
G000413035	s__Treponema medium
G000413055	s__Treponema maltophilum
G000413315	s__Propionibacterium sp. oral taxon 192
G000414175	s__Agarivorans albus
G000414195	s__Exiguobacterium sp. OS-77
G000415945	s__halophilic archaeon J07HX5
G000416005	s__Haloquadratum sp. J07HQX50
G000416025	g__Halonotius
G000416045	s__Halorubrum sp. J07HR59
G000416085	s__halophilic archaeon J07HX64
G000416315	s__Osedax symbiont Rs2
G000416985	s__Sphingobacterium paucimobilis
G000418365	s__Corynebacterium terpenotabidum
G000419445	g__Gryllotalpicola
G000419485	s__alpha proteobacterium SCGC AAA487-M09
G000419525	g__Leucothrix
G000419585	g__Salisaeta
G000419685	s__Flavobacterium antarcticum
G000420045	g__Perlucidibaca
G000420085	g__Desulfospira
G000420145	s__Paracoccus zeaxanthinifaciens
G000420245	s__Psychromonas hadalis
G000420265	s__Oceanicaulis alexandrii
G000420305	s__Sphingopyxis baekryungensis
G000420325	s__Spongiibacter tropicus
G000420345	s__Faecalicoccus pleomorphus
G000420385	s__Hippea alviniae
G000420425	s__Actinomyces vaccimaxillae
G000420445	s__Actinotignum urinale
G000420485	s__Desulfovibrio longus
G000420505	s__Alloscardovia omnicolens
G000420525	g__Aquaspirillum
G000420545	s__Arenimonas oryziterrae
G000420605	s__Corynebacterium massiliense
G000420625	g__Fodinicurvata
G000420645	s__Nevskia ramosa
G000420665	g__Ponticaulis
G000420705	s__Hymenobacter norwichensis
G000420725	s__Marinococcus halotolerans
G000420745	s__Pseudorhodobacter ferrugineus
G000420765	s__Sandarakinorhabdus limnophila
G000420805	g__Yaniella
G000420825	s__Butyrivibrio sp. AE2015
G000420845	s__Butyrivibrio sp. AE3009
G000420905	s__Butyrivibrio sp. AD3002
G000420945	s__Butyrivibrio sp. VCB2006
G000421005	s__Clostridiales bacterium NK3B98
G000421045	s__Lachnospiraceae bacterium NK4A179
G000421065	s__Acidobacteriaceae bacterium TAA166
G000421105	g__Geovibrio
G000421145	g__Glaciibacter
G000421165	s__Marinobacter daepoensis
G000421185	g__Ornithinimicrobium
G000421225	g__Ruania
G000421245	s__Serinicoccus marinus
G000421265	s__Thalassospira lucentensis
G000421285	g__Desulfotignum
G000421325	s__alpha proteobacterium SCGC AAA536-K22
G000421405	s__Butyrivibrio sp. NC2007
G000421445	s__Frankia sp. Iso899
G000421465	g__Methylohalobius
G000421485	s__Desulfurobacterium sp. TC5-1
G000421525	g__Aestuariimicrobium
G000421545	s__Agromyces italicus
G000421565	s__Agromyces subbeticus
G000421585	s__Thermodesulfatator atlanticus
G000421605	s__Thermodesulfobacterium thermophilum
G000421625	s__Thermus islandicus
G000421665	g__Bavariicoccus
G000421745	s__Nesterenkonia alba
G000421765	s__Pseudomonas caeni
G000421825	g__Humibacter
G000421885	g__Laceyella
G000422085	s__Serratia liquefaciens
G000422165	s__Lactobacillus helveticus
G000422205	s__Desulfovibrio sp. X2
G000422245	s__Desulfovibrio alkalitolerans
G000422265	s__Chryseobacterium palustre
G000422285	g__Desulfatiglans
G000422305	s__Luteimonas mephitis
G000422325	s__Marinospirillum minutulum
G000422345	s__Spongiibacter marinus
G000422385	s__Microbacterium indicum
G000422405	s__Microbacterium luticocti
G000422425	s__Oceanospirillum beijerinckii
G000422445	s__Paenibacillus assamensis
G000422465	s__Paenibacillus harenae
G000422485	s__Paenibacillus pasadenensis
G000422505	s__Paenibacillus pinihumi
G000422565	s__Desulfovibrio aminophilus
G000422585	g__Hugenholtzia
G000422625	s__Enterorhabdus mucosicola
G000422645	s__Ferrimonas futtsuensis
G000422665	s__Ferrimonas senticii
G000422685	s__Flavobacterium gelidilacus
G000422705	s__Flavobacterium soli
G000422745	s__Microbacterium gubbeenense
G000422765	s__Neptunomonas japonica
G000422805	s__Nocardioides halotolerans
G000422825	s__Nocardioides insulae
G000422845	g__Oceanobacter
G000422865	s__Oceanospirillum maris
G000422885	s__Ottowia thiooxydans
G000422905	s__Paenibacillus alginolyticus
G000422925	g__Paludibacterium
G000422945	s__Pedobacter oryzae
G000422965	s__Pleomorphomonas oryzae
G000422985	s__Porphyrobacter cryptus
G000423005	g__Gelidibacter
G000423025	s__Gordonia shandongensis
G000423045	s__Gramella portivictoriae
G000423085	g__Granulicoccus
G000423105	g__Halalkalibacillus
G000423125	g__Haliea
G000423145	s__Helcococcus sueciensis
G000423165	s__Idiomarina sediminum
G000423185	g__Inquilinus
G000423205	s__Jonesia quinghaiensis
G000423225	s__Kaistia adipata
G000423245	s__Lactobacillus ceti
G000423265	s__Lactobacillus saerimneri
G000423305	s__Legionella moravica
G000423325	s__Lysobacter defluvii
G000423345	s__Marinimicrobium agarilyticum
G000423365	g__Maritalea
G000423385	s__Megamonas hypermegale
G000423405	g__Mesonia
G000423425	s__Meiothermus rufus
G000423445	s__Acidipropionibacterium thoenii
G000423465	g__Propionicicella
G000423485	s__Propionimicrobium lymphophilum
G000423505	s__Pseudoclavibacter soli
G000423525	g__Proteocatella
G000423565	s__Runella zeae
G000423585	s__Salinimicrobium xinjiangense
G000423605	g__Saccharospirillum
G000423625	s__Pseudonocardia asaccharolytica
G000423645	g__Sediminimonas
G000423705	g__Stappia
G000423725	s__Streptococcus devriesei
G000423745	s__Streptococcus plurextorum
G000423765	s__Streptococcus porci
G000423785	s__Tetragenococcus muriaticus
G000423805	s__Thalassobaculum salexigens
G000423825	g__Thermithiobacillus
G000423845	s__Thermodesulfobacterium hveragerdense
G000423865	s__Thermodesulfovibrio thiophilus
G000423885	g__Thermomonas
G000423905	s__Thermus antranikianii
G000423925	s__Butyrivibrio sp. VCD2006
G000424025	s__Clostridium paraputrificum
G000424105	s__Lachnospira multipara
G000424145	s__Butyrivibrio sp. AC2005
G000424165	s__Butyrivibrio sp. AE3006
G000424185	s__Prevotella sp. AGR2160
G000424205	s__Clostridium cadaveris
G000424265	s__Butyrivibrio sp. WCD3002
G000424365	s__Lachnospiraceae bacterium NK4A144
G000424385	s__Butyrivibrio sp. LC3010
G000424445	s__Oribacterium sp. NK2B42
G000424485	s__Butyrivibrio sp. WCD2001
G000424525	s__Butyrivibrio sp. FCS006
G000424545	s__Butyrivibrio sp. NC3005
G000424585	s__Butyrivibrio sp. MC2013
G000424665	s__Salinimicrobium terrae
G000424785	s__Streptomyces sp. CNT360
G000424825	s__Streptomyces sp. CNH287
G000424845	s__Streptomyces sp. TAA040
G000424965	s__Streptomyces sp. TAA204
G000424985	s__Arenibacter latericius
G000425065	s__Actinomadura rifamycini
G000425105	g__Agrococcus
G000425125	s__Paenibacillus taiwanensis
G000425165	s__Photobacterium halotolerans
G000425185	s__Pleomorphomonas koreensis
G000425225	s__Pontibacillus marinus
G000425265	s__Desulfovibrio zosterae
G000425285	s__Acidipropionibacterium jensenii
G000425305	s__Psychroserpens burtonensis
G000425345	s__Rheinheimera baltica
G000425365	g__Rubritepida
G000425385	s__Pseudoduganella violaceinigra
G000425405	s__Ferrimonas kyonanensis
G000425465	s__Flavobacterium filum
G000425505	s__Flavobacterium frigidarium
G000425525	s__Ruminococcus gauvreauii
G000425545	s__Sporosarcina ureae
G000425565	s__Tepidiphilus margaritifer
G000425585	g__Terrimonas
G000425625	s__Pseudomonas azotifigens
G000425645	s__Gaetbulibacter saemankumensis
G000425685	g__Gulosibacter
G000425705	s__Halobacillus kuroshimensis
G000425725	s__Halomonas halocynthiae
G000425825	s__Jeotgalicoccus marinus
G000425845	s__Jeotgalicoccus psychrophilus
G000425865	g__Lacticigenium
G000426005	s__Lysobacter sp. URHA0019
G000426045	s__Marmoricola sp. URHB0036
G000426085	s__Bacillus sp. URHB0009
G000426125	s__Comamonadaceae bacterium URHA0028
G000426225	g__Desulforegula
G000426285	s__Rhizobium leucaenae
G000426305	s__Anaerovorax odorimutans
G000426325	s__Streptomyces sp. CNS606
G000426365	s__Arenimonas composti
G000426385	s__Arsenicicoccus bolidensis
G000426445	s__Brevibacterium album
G000426465	s__Chryseobacterium caeni
G000426485	s__Dysgonomonas capnocytophagoides
G000426505	s__Nisaea denitrificans
G000426525	s__Nocardioides alkalitolerans
G000426545	s__Paenibacillus panacisoli
G000426565	s__Prevotella albensis
G000426585	s__Prevotella baroniae
G000426605	s__Propionibacterium acidifaciens
G000426625	g__Psychrilyobacter
G000426645	s__Nakamurella lactea
G000426685	s__Solimonas flava
G000426705	s__Spirochaeta cellobiosiphila
G000426725	g__Sporocytophaga
G000426745	s__Veillonella montpellierensis
G000426765	s__Vibrio litoralis
G000426825	f__Thermonemataceae
G000426885	s__Moraxella caprae
G000426925	s__Dolichospermum circinale
G000427295	s__Cyclobacterium qasimii
G000427335	s__Winogradskyella psychrotolerans
G000427365	g__Rikenella
G000427385	g__Methylocaldum
G000427405	g__Flectobacillus
G000427425	s__Caldanaerobius polysaccharolyticus
G000427445	s__Methylocapsa acidiphila
G000427565	s__Carboxydothermus ferrireducens
G000427625	s__Methylobacter luteus
G000427645	s__Sphingomonas phyllosphaerae
G000427665	g__Geminicoccus
G000427685	g__Haloplanus
G000427785	s__Massilia alkalitolerans
G000427805	s__Budvicia aquatica
G000427825	s__Thermocrispum municipale
G000427865	s__Corynebacterium sputi
G000427885	s__Glycomyces tenuis
G000427905	s__Thermocrispum agreste
G000427965	g__Olivibacter
G000428045	s__Sedimenticola selenatireducens
G000428065	g__Shimazuella
G000428125	s__Bacteroides graminisolvens
G000428145	s__Chitinilyticum litopenaei
G000428165	s__Bacillus sp. JGI 001005-J19
G000428305	s__Verrucomicrobia bacterium SCGC AAA027-I19
G000428345	s__actinobacterium SCGC AAA028-N15
G000428465	g__Chitinimonas
G000428525	g__Hellea
G000428565	s__Parabacteroides gordonii
G000428585	g__Zooshikella
G000428685	s__Actinomyces slackii
G000428705	s__Acholeplasma axanthum
G000428745	s__Veillonella magna
G000428765	s__Brevundimonas aveniformis
G000428785	s__Conchiformibius kuhniae
G000428805	s__Corynebacterium freiburgense
G000428825	s__Desulfomicrobium escambiense
G000428845	s__Dyadobacter alkalitolerans
G000428865	s__Eremococcus coleocola
G000428885	g__Geothrix
G000428925	s__Lactobacillus rossiae
G000428945	g__Hamadaea
G000428985	s__Marinobacterium litorale
G000429005	s__Novosphingobium acidiphilum
G000429025	s__Pseudonocardia spinosispora
G000429045	g__Salinarimonas
G000429065	g__Silanimonas
G000429085	s__Streptomyces flavidovirens
G000429105	s__Actinomyces suimastitidis
G000429125	s__Aequorivita capsosiphonis
G000429145	s__Aestuariibacter salexigens
G000429165	s__Acetobacter nitrogenifigens
G000429225	s__Actinomyces dentalis
G000429265	s__Actinomyces gerencseriae
G000429305	s__Desulfovibrio inopinatus
G000429325	s__Desulfovibrio putealis
G000429345	s__Desulfovirgula thermocuniculi
G000429365	g__Pseudodonghicola
G000429425	s__Algoriphagus mannitolivorans
G000429445	s__Algoriphagus terrigena
G000429465	s__Algoriphagus vanfongensis
G000429485	g__Aliagarivorans
G000429525	s__Alicyclobacillus contaminans
G000429545	s__Arenibacter certesii
G000429565	s__Arsenophonus nasoniae
G000429585	g__Atopococcus
G000429605	g__Azonexus
G000429625	s__Azospirillum halopraeferens
G000429645	g__Niveispirillum
G000429665	g__Azovibrio
G000429685	s__Bacillus aidingensis
G000429705	s__Bacillus aurantiacus
G000429725	s__Bacillus chagannorensis
G000429765	s__Gemmobacter nectariphilus
G000429785	g__Chitinibacter
G000429825	s__Cohnella thermotolerans
G000429845	s__Comamonas composti
G000429865	g__Cucumibacter
G000429885	g__Dermatophilus
G000429905	s__Desulfatibacillum aliphaticivorans
G000429925	s__Desulfatirhabdium butyrativorans
G000429945	s__Desulfobulbus japonicus
G000429965	s__Desulfobulbus mediterraneus
G000429985	s__Desulfovibrio bastinii
G000430005	s__Desulfovibrio cuneatus
G000430025	s__Flavobacterium suncheonense
G000430045	s__Meiothermus chliarophilus
G000430485	s__Thermococcus sp. PK
G000430505	g__Eisenibacter
G000430525	s__Prevotella corporis
G000430545	s__Tenacibaculum ovolyticum
G000430585	s__Alicyclobacillus herbarius
G000430605	g__Anaeroarcus
G000430625	s__Aneurinibacillus terranovensis
G000430645	s__Aquimarina latercula
G000430665	s__Aquimarina muelleri
G000430685	g__Tuberibacillus
G000430705	s__Arthrobacter castelli
G000430725	g__Azohydromonas
G000430745	s__Fictibacillus gelatini
G000430765	s__Bacillus kribbensis
G000430785	s__Bacillus panaciterrae
G000430805	s__Chitinilyticum aquatile
G000430825	s__Chryseobacterium daeguense
G000430845	s__Chryseobacterium gregarium
G000430865	s__Deinococcus ficus
G000430885	s__Desulfotomaculum alcoholivorax
G000430905	s__Methanocorpusculum bavaricum
G000430995	s__Thermobrachium celere
