DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	completeness
G000245275	99.4
G000245555	94.11
G000245655	99.81
G000245715	96.84
G000245755	93.9
G000245775	99.68
G000245795	98.06
G000245815	99.18
G000246735	83.2
G000246855	100.0
G000246875	100.0
G000246895	100.0
G000246925	98.95
G000246945	99.65
G000246985	99.5
G000247475	99.52
G000247525	91.96
G000247545	100.0
G000247565	97.5
G000247605	100.0
G000247645	98.82
G000247715	99.46
G000247895	99.69
G000247995	99.82
G000248015	99.1
G000248055	99.58
G000248095	99.18
G000250635	100.0
G000250655	98.52
G000250675	99.37
G000250735	98.91
G000250875	94.88
G000251105	100.0
G000252125	99.29
G000252165	96.66
G000252425	98.18
G000252445	99.15
G000252465	94.6
G000252485	98.18
G000252525	66.27
G000252625	97.65
G000252665	84.08
G000252685	70.86
G000252705	63.32
G000252725	88.19
G000252745	55.96
G000252765	100.0
G000252785	100.0
G000252855	100.0
G000252955	100.0
G000253015	100.0
G000253035	100.0
G000253055	100.0
G000253115	99.57
G000253175	99.84
G000253235	99.49
G000253275	98.59
G000253295	100.0
G000253395	99.89
G000255115	99.49
G000255135	98.28
G000255295	99.35
G000255355	98.51
G000255455	98.67
G000255495	99.48
G000255535	99.73
G000255555	99.98
G000255655	98.88
G000255705	94.89
G000255935	98.68
G000257395	84.93
G000257665	97.51
G000257745	99.09
G000258175	99.84
G000258385	99.56
G000258405	98.86
G000258425	99.53
G000258495	97.13
G000258515	100.0
G000258765	98.95
G000259075	100.0
G000259095	99.6
G000259155	99.56
G000259175	100.0
G000259255	99.94
G000259275	99.77
G000259485	99.77
G000259575	100.0
G000260115	99.67
G000260135	99.94
G000260275	98.9
G000260455	99.48
G000260635	98.43
G000260835	99.67
G000260965	100.0
G000260985	100.0
G000261025	99.32
G000261285	99.89
G000261485	97.57
G000262205	99.74
G000262225	100.0
G000262245	100.0
G000262305	99.98
G000262365	93.15
G000262405	99.69
G000262545	99.66
G000262715	96.47
G000263195	100.0
G000263355	100.0
G000263735	100.0
G000264055	99.12
G000264315	99.59
G000264335	97.57
G000264455	100.0
G000264495	100.0
G000264605	61.29
G000264625	49.32
G000265075	92.35
G000265245	97.77
G000265295	99.87
G000265365	100.0
G000265385	99.49
G000265405	100.0
G000265465	100.0
G000265505	100.0
G000265525	100.0
G000265545	99.56
G000266885	95.51
G000266905	99.56
G000266925	100.0
G000266945	98.39
G000269565	100.0
G000269605	95.99
G000269805	99.96
G000269865	98.68
G000269905	98.48
G000269945	100.0
G000269985	100.0
G000270085	100.0
G000270145	100.0
G000270185	95.76
G000270205	100.0
G000270245	99.31
G000270265	99.78
G000270285	100.0
G000270305	98.56
G000270325	98.06
G000270385	97.89
G000270405	97.89
G000270425	97.89
G000270445	97.89
G000271305	98.82
G000271425	100.0
G000271445	99.07
G000271665	100.0
G000271925	100.0
G000272005	100.0
G000272025	99.95
G000272145	98.85
G000272475	99.59
G000273375	99.45
G000274045	99.42
G000274085	99.36
G000274945	99.42
G000275605	99.5
G000275725	99.78
G000275785	99.81
G000275825	100.0
G000275865	99.54
G000276685	100.0
G000276805	100.0
G000276965	96.14
G000277005	98.29
G000277125	99.94
G000277715	97.47
G000277755	100.0
G000278115	99.34
G000278135	100.0
G000278155	100.0
G000278195	100.0
G000278215	99.81
G000278255	100.0
G000278275	100.0
G000278295	99.56
G000279145	99.98
G000279995	99.56
G000280015	99.12
G000281085	94.45
G000281175	100.0
G000282075	99.73
G000282595	100.0
G000282775	82.88
G000282995	96.58
G000283015	99.34
G000283235	99.68
G000283315	99.04
G000283335	98.61
G000283495	100.0
G000283515	99.59
G000283555	100.0
G000283575	98.99
G000283595	99.59
G000283615	99.34
G000283655	100.0
G000283855	99.54
G000283915	100.0
G000284015	100.0
G000284035	99.37
G000284075	99.59
G000284095	100.0
G000284115	95.45
G000284135	99.78
G000284155	99.53
G000284215	99.78
G000284235	99.59
G000284255	99.84
G000284295	100.0
G000284315	94.49
G000284335	98.21
G000284375	100.0
G000284415	100.0
G000284435	100.0
G000284455	99.78
G000284515	99.33
G000284615	100.0
G000284835	98.68
G000285455	99.52
G000285495	100.0
G000285515	98.12
G000285535	96.18
G000285555	99.34
G000285575	98.22
G000285595	98.01
G000285795	52.71
G000285835	98.84
G000285915	98.26
G000286075	100.0
G000286115	98.66
G000286215	98.66
G000286315	99.34
G000286335	99.45
G000286395	99.86
G000286435	100.0
G000286635	100.0
G000286895	100.0
G000287055	99.45
G000287335	100.0
G000287355	98.75
G000287635	99.31
G000287655	99.65
G000291295	98.51
G000291785	38.09
G000291825	61.01
G000291945	46.21
G000292245	96.69
G000293175	100.0
G000293785	99.37
G000293805	99.03
G000293845	98.71
G000294515	98.17
G000294575	76.59
G000294655	99.5
G000294675	98.43
G000294715	98.69
G000294775	98.91
G000295095	99.76
G000295715	99.45
G000295935	100.0
G000296385	99.37
G000296405	96.23
G000296445	100.0
G000296465	99.62
G000296485	99.37
G000296505	100.0
G000296695	100.0
G000296715	99.73
G000296775	98.77
G000296795	100.0
G000296815	100.0
G000296835	96.52
G000296855	98.05
G000297025	98.38
G000297055	98.82
G000297095	98.23
G000297115	99.19
G000297135	36.42
G000297215	98.85
G000297255	97.2
G000297395	99.82
G000297435	99.67
G000297495	96.31
G000297555	99.34
G000297775	98.14
G000297855	99.65
G000297875	99.65
G000298075	99.43
G000298115	99.06
G000298175	100.0
G000298195	99.58
G000298215	99.45
G000298295	99.44
G000298375	97.85
G000298415	99.24
G000298435	99.49
G000298455	97.72
G000298475	100.0
G000298495	99.49
G000298515	100.0
G000298535	99.49
G000298555	99.24
G000299095	100.0
G000299115	95.78
G000299235	94.14
G000299335	99.26
G000299355	95.25
G000299365	94.66
G000299395	97.09
G000299455	99.62
G000299575	98.48
G000299875	99.24
G000299895	100.0
G000299915	99.96
G000299935	100.0
G000300005	100.0
G000300045	100.0
G000300075	18.13
G000300115	99.11
G000300135	99.48
G000300195	97.12
G000300235	100.0
G000300255	98.39
G000300275	100.0
G000300295	98.24
G000300335	99.51
G000300455	99.49
G000300515	99.51
G000300695	94.52
G000300815	93.77
G000300855	100.0
G000300875	99.65
G000300995	100.0
G000301035	100.0
G000301055	96.99
G000301075	100.0
G000302455	98.93
G000302495	99.45
G000302595	97.61
G000302695	100.0
G000303025	100.0
G000303155	100.0
G000304215	97.64
G000304275	100.0
G000304335	98.57
G000304355	98.37
G000304395	98.94
G000304455	72.93
G000304635	98.75
G000304715	97.5
G000304735	99.19
G000305495	97.53
G000305785	100.0
G000305935	98.52
G000306115	98.82
G000306195	97.65
G000306255	96.47
G000306725	99.84
G000306765	99.25
G000306785	100.0
G000306885	94.55
G000306965	99.34
G000307105	99.35
G000307165	98.68
G000307245	90.17
G000307265	99.33
G000307285	32.76
G000307305	99.81
G000307375	99.62
G000307855	94.87
G000307875	98.02
G000307915	99.71
G000307995	99.67
G000308055	99.84
G000308195	99.47
G000308215	98.39
G000308255	98.78
G000308275	96.95
G000308295	99.66
G000308315	90.64
G000308355	99.37
G000308395	99.81
G000308495	99.25
G000308515	99.32
G000308595	99.69
G000308615	99.94
G000308635	99.29
G000308655	99.65
G000308675	98.87
G000308695	99.51
G000308715	98.88
G000308755	99.44
G000308795	99.18
G000308835	99.09
G000308855	99.37
G000308875	98.9
G000309075	97.0
G000309315	98.37
G000309385	99.18
G000309425	98.66
G000309465	93.15
G000309485	94.52
G000309565	99.46
G000309585	99.25
G000309605	99.39
G000309705	99.46
G000309765	99.46
G000309865	96.53
G000309885	100.0
G000309945	99.53
G000310145	99.76
G000310185	99.69
G000310245	98.77
G000311725	98.78
G000311745	98.59
G000311765	99.5
G000311785	98.92
G000311825	99.18
G000311845	98.39
G000311865	97.9
G000311905	98.28
G000311925	99.04
G000311985	95.73
G000312005	95.86
G000312025	93.12
G000312045	99.77
G000312105	98.7
G000312125	97.21
G000312145	99.76
G000312165	98.57
G000312185	98.36
G000312205	98.57
G000312245	99.01
G000312265	98.36
G000312285	99.12
G000312325	96.75
G000312345	99.74
G000312365	98.17
G000312385	98.79
G000312405	99.18
G000312425	97.47
G000312445	96.28
G000312505	97.55
G000312525	99.79
G000312545	98.88
G000312565	98.97
G000312605	99.79
G000312665	99.94
G000312705	99.67
G000312725	99.01
G000313175	97.65
G000313345	99.44
G000313385	99.38
G000313565	100.0
G000313915	98.34
G000314005	99.56
G000314405	92.9
G000314575	99.71
G000314675	99.68
G000314735	99.68
G000314895	96.22
G000314935	99.94
G000314955	100.0
G000314975	100.0
G000314995	99.33
G000315015	100.0
G000315035	99.58
G000315055	99.66
G000315075	99.47
G000315095	95.6
G000315235	95.61
G000315365	99.37
G000315445	97.28
G000315465	100.0
G000315485	99.26
G000315505	100.0
G000315525	99.36
G000315565	99.76
G000315585	99.76
G000315795	99.5
G000316115	99.73
G000316515	99.73
G000316575	99.11
G000316605	99.42
G000316625	99.26
G000316645	99.33
G000316665	99.78
G000316685	99.29
G000317025	99.49
G000317045	99.87
G000317065	98.23
G000317085	99.76
G000317105	99.71
G000317125	99.63
G000317145	99.48
G000317205	99.52
G000317225	99.76
G000317245	99.52
G000317265	99.76
G000317285	99.64
G000317305	99.62
G000317435	99.76
G000317475	99.78
G000317495	99.48
G000317515	99.56
G000317535	99.78
G000317555	99.78
G000317575	99.56
G000317595	99.89
G000317615	99.55
G000317635	99.48
G000317655	99.52
G000317675	99.45
G000317795	98.73
G000317835	99.36
G000317855	99.82
G000317895	97.3
G000317935	100.0
G000317975	99.45
G000317995	99.49
G000318015	99.53
G000318095	97.12
G000318135	99.55
G000318255	100.0
G000318295	100.0
G000318335	100.0
G000319245	83.73
G000319385	80.94
G000319575	96.31
G000320345	98.04
G000320365	98.66
G000320405	99.19
G000320465	99.82
G000320945	100.0
G000321025	98.95
G000321165	100.0
G000321185	98.91
G000321205	100.0
G000321415	99.66
G000323285	99.82
G000323565	98.72
G000323585	98.85
G000323645	99.64
G000323725	99.2
G000323785	99.48
G000323825	99.77
G000324005	99.46
G000324145	99.97
G000324265	99.73
G000324305	99.47
G000324445	99.42
G000324485	99.55
G000324505	99.48
G000324625	98.69
G000324685	99.14
G000324725	99.73
G000324905	99.82
G000324985	99.05
G000325085	98.63
G000325145	99.82
G000325165	99.57
G000325245	99.38
G000325265	99.74
G000325285	99.82
G000325665	98.75
G000325705	100.0
G000325745	100.0
G000327045	98.67
G000327285	100.0
G000327485	99.87
G000327505	100.0
G000328305	98.64
G000328565	100.0
G000328625	98.23
G000328665	99.84
G000328685	99.73
G000328705	99.51
G000328765	97.08
G000328945	96.12
G000330705	99.43
G000330725	100.0
G000330745	99.93
G000330885	100.0
G000330925	99.89
G000331005	99.16
G000331025	100.0
G000331105	100.0
G000331225	99.57
G000331245	99.14
G000331285	99.41
G000331305	99.39
G000331515	99.18
G000331535	100.0
G000331575	98.68
G000331595	100.0
G000331715	93.49
G000331735	99.35
G000331995	97.9
G000332035	98.84
G000332055	99.78
G000332075	99.67
G000332095	98.64
G000332115	98.54
G000332135	99.63
G000332155	99.56
G000332175	99.76
G000332195	99.56
G000332215	99.29
G000332235	99.78
G000332255	99.28
G000332275	100.0
G000332295	99.56
G000332315	99.18
G000332335	100.0
G000332355	93.75
G000332515	100.0
G000332585	99.01
G000332735	99.73
G000332875	99.33
G000332975	99.85
G000332995	99.76
G000333015	99.12
G000333035	99.58
G000333235	99.89
G000333295	87.28
G000333335	91.35
G000333355	94.59
G000333395	94.35
G000333435	89.46
G000333455	94.93
G000333615	94.9
G000333895	100.0
G000334155	99.33
G000334215	98.15
G000334405	97.62
G000334455	99.76
G000334895	98.51
G000334955	100.0
G000335475	99.03
G000335715	99.15
G000335815	100.0
G000336255	99.93
G000336495	99.52
G000336555	99.21
G000336655	99.43
G000336675	99.08
G000336695	97.8
G000336715	99.08
G000336755	99.57
G000336875	97.07
G000336915	98.65
G000336935	98.44
G000336995	98.16
G000337035	98.73
G000337095	99.1
G000337195	99.24
G000337215	98.92
G000337275	99.53
G000337355	97.78
G000337375	99.3
G000337415	99.68
G000337455	99.0
G000337475	99.19
G000337515	98.65
G000337555	99.11
G000337575	99.17
G000337675	98.53
G000337695	99.92
G000337715	97.73
G000337735	98.92
G000337755	99.53
G000337775	99.93
G000337815	99.36
G000337895	86.94
G000338055	98.34
G000338295	98.17
G000338695	97.41
G000338775	99.29
G000340315	99.29
G000340375	99.06
G000340435	99.13
G000340565	99.78
G000340785	99.78
G000340795	83.9
G000340825	83.72
G000340865	83.19
G000340885	99.19
G000340905	83.97
G000340965	99.45
G000341005	98.08
G000341025	99.45
G000341065	99.54
G000341085	99.45
G000341105	99.73
G000341125	99.17
G000341145	97.88
G000341165	99.73
G000341185	97.62
G000341205	99.73
G000341345	99.67
G000341355	98.46
G000341385	100.0
G000341395	98.13
G000341545	94.87
G000341655	99.01
G000341695	99.01
G000341715	97.06
G000341735	99.6
G000341755	25.98
G000341795	99.81
G000341895	100.0
G000342045	99.5
G000342125	98.84
G000342165	100.0
G000342725	97.65
G000344135	99.58
G000344155	99.82
G000344275	99.87
G000344615	99.26
G000344725	99.12
G000344785	99.45
G000344805	99.35
G000346255	99.73
G000346295	98.17
G000346315	97.58
G000346425	98.75
G000346485	99.76
G000346505	98.75
G000346595	97.3
G000346615	99.7
G000347015	96.47
G000347175	98.82
G000347575	99.44
G000347595	98.9
G000347635	98.46
G000347695	100.0
G000347775	100.0
G000347835	100.0
G000347915	100.0
G000348525	98.86
G000348685	99.67
G000348725	99.1
G000348785	99.15
G000348805	97.58
G000348905	99.34
G000348925	96.35
G000348945	99.4
G000349205	98.94
G000349325	99.39
G000349545	100.0
G000349565	97.98
G000349585	99.41
G000349725	98.43
G000349745	22.26
G000349845	100.0
G000349945	99.9
G000349975	99.41
G000350105	93.44
G000350125	64.75
G000350145	99.15
G000350165	99.13
G000350305	97.98
G000350485	100.0
G000350525	99.42
G000350605	98.82
G000353285	99.41
G000353565	100.0
G000354175	99.46
G000355675	99.48
G000355765	95.56
G000355905	99.62
G000359605	99.12
G000363885	94.52
G000364165	97.32
G000364225	98.16
G000364325	100.0
G000364425	93.84
G000364605	98.96
G000364625	100.0
G000364745	99.4
G000364865	98.58
G000365025	99.51
G000367205	100.0
G000367345	99.66
G000367525	97.03
G000367925	99.73
G000368025	100.0
G000368565	100.0
G000368585	100.0
G000368625	100.0
G000368825	96.62
G000368865	99.57
G000368905	100.0
G000368925	99.93
G000369005	99.91
G000369105	100.0
G000369145	99.93
G000371425	100.0
G000371465	99.19
G000371705	99.32
G000371785	100.0
G000371805	98.81
G000371825	69.56
G000371925	98.24
G000372025	48.4
G000372065	99.2
G000372085	99.71
G000372125	37.93
G000372165	26.58
G000372185	74.4
G000372225	73.45
G000372265	34.48
G000372285	63.74
G000372385	99.9
G000372405	99.42
G000372425	99.63
G000372445	100.0
G000372465	100.0
G000372745	100.0
G000372825	100.0
G000372845	100.0
G000372865	99.54
G000372885	100.0
G000372925	100.0
G000372965	99.43
G000373005	99.85
G000373045	100.0
G000373105	98.83
G000373185	98.99
G000373205	99.57
G000373245	100.0
G000373265	100.0
G000373345	100.0
G000373365	100.0
G000373385	100.0
G000373485	100.0
G000373545	98.4
G000373565	99.89
G000373665	100.0
G000373745	99.84
G000373765	99.62
G000373785	100.0
G000373805	99.56
G000373885	99.36
G000373905	100.0
G000373925	98.53
G000373945	98.98
G000373965	99.59
G000373985	99.96
G000374005	100.0
G000374025	100.0
G000374045	99.51
G000374065	99.4
G000374085	100.0
G000374125	100.0
G000374145	99.84
G000374165	98.62
G000374305	99.47
G000374325	95.86
G000374345	99.09
G000374385	100.0
G000374405	100.0
G000374445	99.03
G000374465	98.48
G000374485	96.97
G000374525	98.1
G000374545	100.0
G000374565	94.46
G000374585	98.51
G000374625	98.83
G000374645	99.3
G000374805	99.57
G000374825	99.85
G000374845	99.73
G000375345	100.0
G000375365	99.67
G000375405	99.24
G000375425	99.89
G000375465	100.0
G000375485	95.27
G000375545	100.0
G000375645	97.03
G000375685	73.65
G000375725	99.58
G000375745	48.29
G000375765	80.17
G000375825	60.44
G000375865	29.52
G000376105	99.68
G000376125	99.42
G000376145	99.46
G000376165	24.37
G000376225	98.46
G000376245	99.31
G000376265	99.58
G000376385	99.37
G000376425	100.0
G000376445	99.08
G000376545	99.47
G000376565	99.14
G000376585	100.0
G000376645	99.81
G000376665	99.57
G000376785	99.89
G000376805	99.35
G000376825	99.46
G000376885	99.77
G000376945	99.57
G000376965	100.0
G000376985	100.0
G000377005	99.88
G000377505	99.26
G000377645	99.57
G000377705	98.66
G000377745	100.0
G000377765	99.34
G000377785	99.94
G000377885	99.92
G000377985	98.29
G000378005	98.21
G000378025	100.0
G000378045	100.0
G000378085	99.66
G000378105	100.0
G000378125	99.54
G000378145	99.68
G000378165	99.25
G000378185	100.0
G000378225	100.0
G000378245	99.9
G000378345	99.08
G000378385	99.73
G000378405	100.0
G000378425	99.19
G000378465	99.25
G000378485	99.46
G000378505	99.57
G000378625	100.0
G000378725	99.3
G000378745	99.66
G000378765	99.62
G000378865	63.73
G000378885	79.59
G000378905	57.56
G000378925	44.22
G000378965	99.94
G000379025	99.13
G000379125	99.69
G000379145	100.0
G000379165	100.0
G000379185	100.0
G000379225	82.7
G000379345	22.69
G000379365	97.93
G000379425	99.78
G000379445	100.0
G000379465	99.29
G000379485	99.39
G000379505	98.98
G000379525	99.58
G000379605	100.0
G000379625	98.76
G000379645	100.0
G000379665	100.0
G000379685	99.47
G000379705	98.13
G000379725	100.0
G000379765	99.4
G000379805	99.5
G000379825	100.0
G000379845	99.81
G000379865	99.77
G000379885	99.89
G000379905	99.66
G000379925	99.92
G000379945	99.92
G000379965	99.32
G000379985	99.5
G000380005	99.62
G000380025	98.13
G000380045	99.62
G000380065	99.29
G000380085	100.0
G000380105	99.88
G000380125	99.88
G000380165	100.0
G000380185	98.71
G000380225	99.04
G000380245	97.72
G000380485	99.58
G000380505	100.0
G000380565	99.03
G000380645	98.76
G000380705	88.24
G000380725	53.96
G000380785	88.32
G000380965	99.73
G000380985	99.45
G000381005	100.0
G000381025	99.82
G000381065	99.91
G000381085	99.39
G000381125	100.0
G000381265	100.0
G000381345	99.58
G000381365	99.26
G000381525	100.0
G000381545	100.0
G000381585	99.14
G000381605	100.0
G000381625	97.39
G000381665	100.0
G000381725	98.88
G000381745	100.0
G000381765	98.64
G000381785	99.14
G000381825	99.58
G000381885	100.0
G000381905	99.85
G000381925	99.75
G000381965	100.0
G000381985	100.0
G000382005	100.0
G000382085	97.2
G000382125	99.28
G000382145	99.79
G000382165	100.0
G000382185	100.0
G000382225	99.4
G000382245	99.09
G000382265	99.29
G000382305	99.57
G000382325	99.35
G000382345	99.85
G000382385	99.32
G000382425	100.0
G000382485	99.16
G000382645	15.52
G000382665	40.54
G000382685	39.49
G000382705	99.19
G000383095	99.89
G000383135	59.05
G000383155	83.94
G000383295	97.99
G000383315	99.24
G000383375	44.89
G000383395	45.49
G000383415	99.59
G000383435	99.06
G000383535	99.31
G000383675	100.0
G000383715	71.9
G000383735	57.99
G000383755	51.64
G000383795	87.48
G000383815	65.26
G000383835	52.64
G000383855	98.75
G000383875	99.42
G000383895	99.87
G000383915	100.0
G000383955	100.0
G000383975	99.36
G000384035	100.0
G000384075	99.23
G000384115	100.0
G000384135	99.4
G000384175	99.93
G000384195	98.11
G000384235	99.34
G000384315	100.0
G000384335	99.39
G000384355	99.57
G000384375	99.57
G000384395	99.35
G000384415	99.94
G000384475	100.0
G000384495	53.45
G000384535	43.1
G000384615	79.44
G000384635	39.81
G000384815	100.0
G000384935	65.55
G000384955	55.29
G000384965	99.38
G000384995	70.22
G000385035	30.0
G000385055	70.1
G000385115	54.41
G000385135	100.0
G000385175	99.43
G000385215	99.97
G000385295	30.1
G000385335	99.48
G000385395	99.38
G000385415	99.96
G000385435	99.38
G000385565	100.0
G000385635	85.39
G000385925	99.13
G000387765	98.59
G000388115	97.95
G000388175	88.71
G000389635	100.0
G000389715	96.93
G000389735	99.4
G000389965	99.47
G000389985	97.75
G000390185	100.0
G000390265	100.0
G000392435	67.13
G000393955	99.25
G000397065	99.57
G000397165	98.63
G000397205	99.38
G000397765	33.59
G000397885	70.51
G000398025	58.59
G000398305	41.69
G000398345	28.58
G000398765	77.6
G000398925	98.66
G000399765	95.87
G000399825	57.35
G000400505	99.14
G000400735	99.73
G000400795	99.27
G000400935	99.62
G000400955	99.62
G000401015	25.45
G000401175	100.0
G000401215	98.52
G000401255	97.99
G000401515	98.43
G000402075	97.33
G000402095	65.07
G000402115	84.08
G000402235	31.03
G000402275	37.35
G000402295	69.2
G000402355	90.19
G000402415	27.59
G000402455	27.41
G000402755	78.33
G000402795	78.02
G000402835	55.93
G000402875	35.21
G000403035	57.63
G000403075	76.44
G000403135	99.52
G000403215	98.16
G000403255	97.99
G000403275	97.13
G000403295	94.74
G000403315	98.28
G000403335	98.16
G000403355	100.0
G000403375	99.85
G000403395	98.66
G000403415	97.17
G000403435	99.33
G000403455	98.83
G000403475	94.74
G000403495	97.13
G000403645	97.53
G000403845	98.56
G000403885	32.57
G000403925	25.15
G000404025	98.67
G000404125	97.67
G000404165	100.0
G000404225	98.79
G000404345	43.1
G000404425	44.44
G000404445	26.72
G000404605	38.45
G000404665	43.85
G000404685	65.16
G000404705	54.84
G000404745	39.56
G000404925	50.56
G000405125	40.0
G000405145	66.6
G000405325	32.2
G000405625	51.04
G000405685	56.55
G000405805	72.41
G000405885	58.03
G000405945	66.01
G000406005	84.35
G000406785	49.36
G000406905	34.19
G000406925	99.17
G000406945	99.44
G000407165	100.0
G000407245	99.31
G000407285	99.34
G000407365	99.25
G000407485	99.31
G000407505	100.0
G000407545	99.31
G000407605	99.34
G000409565	99.57
G000409775	100.0
G000409815	98.8
G000410175	98.91
G000410215	98.37
G000410435	95.27
G000410475	98.41
G000410635	97.44
G000410815	100.0
G000410875	99.91
G000411115	100.0
G000411135	99.12
G000411155	99.53
G000411295	99.34
G000411355	98.73
G000411375	99.9
G000411515	100.0
G000411555	100.0
G000411915	97.66
G000412185	99.84
G000412695	100.0
G000412995	100.0
G000413015	100.0
G000413035	100.0
G000413055	100.0
G000413315	99.34
G000413415	99.65
G000414175	100.0
G000414195	99.34
G000414445	99.09
G000414465	98.06
G000414525	98.11
G000415005	99.53
G000415085	99.63
G000415145	99.25
G000415185	99.63
G000415565	97.74
G000415685	97.89
G000415945	44.17
G000415965	82.33
G000415985	93.82
G000416005	69.97
G000416025	92.47
G000416045	56.54
G000416085	86.78
G000416315	89.32
G000416985	99.37
G000417585	97.89
G000417695	99.49
G000417845	66.03
G000418365	98.87
G000418515	99.46
G000419445	99.24
G000419485	53.15
G000419525	98.86
G000419585	98.84
G000419685	99.65
G000420025	99.14
G000420045	98.95
G000420065	99.53
G000420085	99.35
G000420145	97.97
G000420205	99.45
G000420245	100.0
G000420265	99.84
G000420285	100.0
G000420305	99.82
G000420325	100.0
G000420345	98.11
G000420365	99.39
G000420385	98.77
G000420405	100.0
G000420425	100.0
G000420445	99.78
G000420465	99.41
G000420485	100.0
G000420505	100.0
G000420525	98.27
G000420545	99.66
G000420585	99.45
G000420605	97.53
G000420625	99.78
G000420645	99.55
G000420665	99.68
G000420705	100.0
G000420725	98.66
G000420745	99.55
G000420765	99.57
G000420805	95.43
G000420825	99.96
G000420845	99.96
G000420905	99.58
G000420945	99.96
G000421005	99.33
G000421045	97.37
G000421065	99.14
G000421105	99.14
G000421145	99.49
G000421165	100.0
G000421185	99.45
G000421225	98.64
G000421245	99.45
G000421265	100.0
G000421285	99.35
G000421325	78.86
G000421345	100.0
G000421405	99.57
G000421445	96.38
G000421465	95.82
G000421485	97.26
G000421525	99.83
G000421545	99.49
G000421565	99.37
G000421585	99.45
G000421605	99.17
G000421625	99.15
G000421665	99.45
G000421745	98.38
G000421765	97.7
G000421825	99.49
G000421885	99.08
G000421965	100.0
G000422085	100.0
G000422165	99.03
G000422205	99.41
G000422245	100.0
G000422265	100.0
G000422285	99.35
G000422305	99.48
G000422325	96.44
G000422345	100.0
G000422365	99.67
G000422385	98.99
G000422405	99.49
G000422425	100.0
G000422445	99.73
G000422465	99.73
G000422485	99.62
G000422505	99.73
G000422525	100.0
G000422565	100.0
G000422585	99.45
G000422625	100.0
G000422645	100.0
G000422665	100.0
G000422685	99.65
G000422705	99.65
G000422725	99.65
G000422745	99.33
G000422765	100.0
G000422785	99.37
G000422805	99.48
G000422825	98.79
G000422845	99.48
G000422865	99.57
G000422885	99.77
G000422905	99.73
G000422925	99.57
G000422945	100.0
G000422965	99.68
G000422985	99.48
G000423005	99.67
G000423025	99.39
G000423045	99.6
G000423085	98.7
G000423105	98.67
G000423125	100.0
G000423145	91.92
G000423165	98.32
G000423185	99.13
G000423205	100.0
G000423225	99.68
G000423245	97.91
G000423265	99.48
G000423305	100.0
G000423325	99.64
G000423345	99.57
G000423365	99.82
G000423385	99.05
G000423405	99.62
G000423425	100.0
G000423445	100.0
G000423465	97.24
G000423485	99.12
G000423505	99.71
G000423525	99.3
G000423565	100.0
G000423585	99.62
G000423605	99.47
G000423625	99.0
G000423645	99.55
G000423665	98.71
G000423705	99.58
G000423725	99.63
G000423745	98.88
G000423765	100.0
G000423785	99.34
G000423805	100.0
G000423825	100.0
G000423845	99.17
G000423865	98.11
G000423885	99.83
G000423905	100.0
G000423925	99.58
G000424025	99.19
G000424105	100.0
G000424145	99.58
G000424165	99.58
G000424185	98.92
G000424205	99.19
G000424265	99.58
G000424365	99.46
G000424385	99.58
G000424425	99.58
G000424445	98.72
G000424465	99.57
G000424485	99.58
G000424525	99.57
G000424545	99.58
G000424585	99.58
G000424605	98.31
G000424625	98.86
G000424665	99.62
G000424785	99.64
G000424825	99.91
G000424845	98.13
G000424965	99.91
G000424985	99.67
G000425005	100.0
G000425065	100.0
G000425105	100.0
G000425125	99.73
G000425145	100.0
G000425165	97.64
G000425185	99.35
G000425205	98.66
G000425225	99.33
G000425265	100.0
G000425285	99.67
G000425305	99.67
G000425345	99.66
G000425365	100.0
G000425385	99.72
G000425405	100.0
G000425465	99.29
G000425505	99.29
G000425525	99.37
G000425545	99.33
G000425565	96.13
G000425585	99.01
G000425625	100.0
G000425645	99.5
G000425685	98.64
G000425705	100.0
G000425725	99.14
G000425825	98.85
G000425845	99.43
G000425865	99.45
G000425885	98.69
G000425905	97.11
G000425945	99.14
G000426005	100.0
G000426045	99.48
G000426085	99.45
G000426125	99.84
G000426225	99.35
G000426285	99.72
G000426305	99.29
G000426325	99.91
G000426365	99.83
G000426385	100.0
G000426445	99.71
G000426465	99.51
G000426485	100.0
G000426505	100.0
G000426525	99.22
G000426545	99.85
G000426565	98.65
G000426585	99.32
G000426605	98.46
G000426625	98.88
G000426645	97.07
G000426665	99.65
G000426685	100.0
G000426705	100.0
G000426725	100.0
G000426745	100.0
G000426765	96.08
G000426805	100.0
G000426825	99.18
G000426885	96.58
G000426925	99.78
G000427095	95.65
G000427295	98.3
G000427335	98.99
G000427365	100.0
G000427385	99.05
G000427405	100.0
G000427425	99.52
G000427445	99.58
G000427565	100.0
G000427625	99.61
G000427645	99.66
G000427665	99.25
G000427685	98.8
G000427785	99.95
G000427805	100.0
G000427825	99.65
G000427865	100.0
G000427885	99.46
G000427905	100.0
G000427965	100.0
G000428045	99.77
G000428065	99.23
G000428125	96.8
G000428145	99.96
G000428165	38.6
G000428305	58.45
G000428345	51.15
G000428465	100.0
G000428525	99.35
G000428565	99.62
G000428585	99.25
G000428685	100.0
G000428705	99.33
G000428745	100.0
G000428765	100.0
G000428785	99.89
G000428805	99.66
G000428825	99.38
G000428845	100.0
G000428865	99.45
G000428885	99.12
G000428905	99.58
G000428925	99.46
G000428945	99.3
G000428985	100.0
G000429005	99.93
G000429025	100.0
G000429045	99.37
