DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	coding density
G000245275	87.24
G000245555	85.2
G000245655	82.97
G000245715	84.61
G000245755	85.65
G000245775	87.2
G000245795	83.83
G000245815	85.63
G000246735	93.85
G000246855	88.19
G000246875	90.69
G000246895	81.95
G000246925	90.33
G000246945	85.58
G000246985	90.94
G000247475	88.22
G000247525	88.71
G000247545	88.83
G000247565	86.12
G000247605	86.22
G000247645	92.15
G000247715	90.84
G000247895	86.97
G000247995	87.96
G000248015	88.65
G000248055	90.5
G000248095	85.15
G000250635	83.27
G000250655	84.7
G000250675	88.82
G000250735	83.11
G000250875	83.76
G000251105	89.42
G000252125	87.8
G000252165	87.21
G000252425	73.35
G000252445	88.13
G000252465	75.55
G000252485	77.69
G000252525	95.42
G000252625	88.64
G000252665	90.43
G000252685	90.09
G000252705	89.78
G000252725	90.39
G000252745	89.89
G000252765	90.98
G000252785	91.06
G000252855	90.53
G000252955	84.35
G000253015	80.86
G000253035	88.58
G000253055	90.36
G000253115	90.68
G000253175	84.22
G000253235	89.28
G000253275	86.2
G000253295	87.56
G000253395	83.77
G000255115	82.4
G000255135	92.19
G000255295	91.58
G000255355	81.14
G000255455	87.99
G000255495	87.61
G000255535	87.52
G000255555	88.21
G000255655	83.93
G000255705	85.21
G000255935	88.16
G000257395	79.02
G000257665	93.86
G000257745	91.64
G000258175	89.49
G000258385	88.26
G000258405	92.23
G000258425	87.19
G000258495	87.45
G000258515	90.35
G000258765	88.71
G000259075	86.53
G000259095	87.97
G000259155	88.17
G000259175	82.95
G000259255	89.18
G000259275	89.73
G000259485	91.29
G000259575	87.87
G000260115	86.68
G000260135	91.1
G000260275	83.21
G000260455	88.28
G000260635	82.71
G000260835	91.23
G000260965	92.33
G000260985	89.93
G000261025	85.14
G000261285	90.98
G000261485	86.08
G000262205	87.56
G000262225	91.92
G000262245	89.15
G000262305	87.53
G000262365	90.26
G000262405	84.78
G000262545	86.48
G000262715	94.96
G000263195	89.22
G000263355	90.07
G000263735	92.7
G000264055	83.03
G000264315	89.4
G000264335	87.42
G000264455	90.15
G000264495	91.35
G000264605	83.94
G000264625	81.36
G000265075	88.24
G000265245	88.69
G000265295	93.76
G000265365	88.57
G000265385	89.84
G000265405	88.22
G000265465	90.55
G000265505	84.25
G000265525	91.18
G000265545	88.19
G000266885	91.71
G000266905	91.49
G000266925	92.08
G000266945	83.31
G000269565	88.41
G000269605	88.47
G000269805	85.85
G000269865	86.01
G000269905	87.27
G000269945	87.16
G000269985	87.27
G000270085	89.64
G000270145	87.51
G000270185	79.16
G000270205	89.69
G000270245	89.69
G000270265	87.16
G000270285	89.06
G000270305	88.24
G000270325	92.79
G000270385	90.45
G000270405	90.43
G000270425	90.42
G000270445	90.3
G000271305	90.39
G000271425	87.36
G000271445	80.42
G000271665	85.17
G000271925	86.43
G000272005	91.34
G000272025	89.1
G000272145	87.23
G000272475	88.24
G000273375	77.49
G000274045	91.1
G000274085	91.07
G000274945	90.74
G000275605	91.26
G000275725	89.36
G000275785	89.49
G000275825	82.42
G000275865	88.89
G000276685	92.68
G000276805	86.78
G000276965	91.84
G000277005	87.85
G000277125	91.56
G000277715	89.52
G000277755	85.47
G000278115	76.03
G000278135	75.89
G000278155	79.85
G000278195	75.53
G000278215	69.62
G000278255	76.95
G000278275	82.36
G000278295	74.52
G000279145	93.21
G000279995	82.01
G000280015	75.41
G000281085	89.72
G000281175	89.56
G000282075	88.86
G000282595	90.3
G000282775	87.48
G000282995	91.12
G000283015	91.58
G000283235	86.97
G000283315	83.84
G000283335	86.52
G000283495	86.19
G000283515	89.2
G000283555	90.28
G000283575	83.82
G000283595	80.92
G000283615	85.68
G000283655	87.76
G000283855	80.29
G000283915	75.24
G000284015	89.3
G000284035	88.87
G000284075	80.62
G000284095	89.35
G000284115	88.55
G000284135	87.16
G000284155	79.52
G000284215	87.15
G000284235	93.46
G000284255	92.29
G000284295	90.12
G000284315	89.22
G000284335	91.99
G000284375	84.69
G000284415	87.02
G000284435	90.01
G000284455	87.16
G000284515	82.21
G000284615	91.59
G000284835	85.07
G000285455	92.34
G000285495	82.29
G000285515	81.29
G000285535	83.96
G000285555	85.71
G000285575	78.24
G000285595	85.12
G000285795	83.05
G000285835	89.69
G000285915	90.73
G000286075	86.53
G000286115	88.58
G000286215	88.29
G000286315	78.32
G000286335	88.58
G000286395	88.22
G000286435	86.82
G000286635	88.92
G000286895	85.37
G000287055	86.93
G000287335	50.91
G000287355	49.18
G000287635	87.41
G000287655	90.34
G000291295	81.07
G000291785	86.24
G000291825	91.28
G000291945	89.23
G000292245	81.58
G000293175	90.28
G000293785	84.86
G000293805	84.84
G000293845	92.55
G000294515	86.31
G000294575	94.77
G000294655	90.26
G000294675	89.04
G000294715	74.81
G000294775	83.67
G000295095	87.72
G000295715	84.25
G000295935	89.02
G000296385	89.05
G000296405	84.48
G000296445	85.31
G000296465	89.15
G000296485	91.19
G000296505	87.78
G000296695	91.53
G000296715	88.52
G000296775	91.48
G000296795	84.1
G000296815	89.46
G000296835	90.38
G000296855	88.69
G000297025	87.98
G000297055	90.99
G000297095	92.33
G000297115	89.55
G000297135	92.41
G000297215	79.09
G000297255	83.53
G000297395	88.81
G000297435	81.75
G000297495	89.42
G000297555	82.19
G000297775	82.77
G000297855	84.28
G000297875	85.61
G000298075	82.09
G000298115	86.51
G000298175	88.47
G000298195	90.71
G000298215	89.41
G000298295	88.48
G000298375	89.4
G000298415	89.76
G000298435	90.21
G000298455	89.68
G000298475	89.61
G000298495	89.9
G000298515	90.28
G000298535	89.54
G000298555	90.3
G000299095	96.31
G000299115	96.28
G000299235	90.21
G000299335	89.85
G000299355	83.0
G000299365	90.15
G000299395	89.97
G000299455	87.26
G000299575	93.04
G000299875	89.79
G000299895	91.68
G000299915	90.93
G000299935	91.03
G000300005	89.91
G000300045	93.54
G000300075	68.81
G000300115	79.73
G000300135	87.62
G000300195	81.15
G000300235	88.66
G000300255	89.39
G000300275	88.73
G000300295	82.66
G000300335	89.55
G000300455	88.12
G000300515	89.84
G000300695	81.29
G000300815	91.44
G000300855	89.26
G000300875	89.12
G000300995	90.2
G000301035	86.45
G000301055	86.06
G000301075	86.83
G000302455	80.74
G000302495	86.48
G000302595	88.66
G000302695	87.24
G000303025	86.65
G000303155	83.13
G000304215	87.55
G000304275	92.96
G000304335	91.68
G000304355	83.18
G000304395	88.29
G000304455	84.62
G000304635	88.85
G000304715	89.69
G000304735	92.38
G000305495	84.17
G000305785	90.78
G000305935	84.32
G000306115	90.21
G000306195	75.6
G000306255	78.81
G000306725	85.87
G000306765	85.76
G000306785	90.14
G000306885	69.58
G000306965	83.19
G000307105	88.34
G000307165	84.76
G000307245	80.78
G000307265	85.54
G000307285	86.9
G000307305	82.65
G000307375	89.62
G000307855	86.4
G000307875	86.18
G000307915	80.53
G000307995	79.4
G000308055	91.81
G000308195	90.55
G000308215	87.54
G000308255	87.73
G000308275	89.14
G000308295	86.35
G000308315	82.52
G000308355	90.48
G000308395	83.34
G000308495	85.2
G000308515	87.86
G000308595	89.49
G000308615	87.94
G000308635	89.21
G000308655	87.5
G000308675	88.24
G000308695	88.6
G000308715	87.98
G000308755	87.77
G000308795	89.64
G000308835	88.54
G000308855	89.13
G000308875	89.58
G000309075	82.98
G000309315	87.56
G000309385	83.55
G000309425	88.67
G000309465	80.79
G000309485	79.77
G000309565	84.79
G000309585	84.41
G000309605	84.23
G000309705	84.72
G000309765	84.77
G000309865	82.75
G000309885	94.21
G000309945	85.8
G000310145	91.17
G000310185	89.88
G000310245	93.27
G000311725	83.38
G000311745	87.67
G000311765	89.82
G000311785	86.07
G000311825	86.79
G000311845	83.74
G000311865	88.66
G000311905	81.47
G000311925	86.93
G000311985	88.26
G000312005	84.67
G000312025	84.65
G000312045	87.21
G000312105	92.79
G000312125	86.82
G000312145	90.2
G000312165	75.92
G000312185	77.19
G000312205	79.91
G000312245	78.98
G000312265	77.97
G000312285	80.18
G000312325	86.07
G000312345	87.79
G000312365	89.35
G000312385	92.0
G000312405	85.46
G000312425	92.17
G000312445	89.44
G000312505	90.73
G000312525	76.92
G000312545	71.94
G000312565	74.06
G000312605	73.89
G000312665	85.68
G000312705	82.18
G000312725	79.36
G000313175	84.72
G000313345	86.15
G000313385	88.21
G000313565	88.97
G000313915	90.53
G000314005	84.36
G000314405	94.61
G000314575	89.92
G000314675	87.78
G000314735	88.83
G000314895	76.43
G000314935	87.57
G000314955	87.56
G000314975	89.8
G000314995	87.87
G000315015	87.61
G000315035	86.54
G000315055	87.82
G000315075	83.37
G000315095	82.52
G000315235	81.09
G000315365	86.7
G000315445	84.42
G000315465	87.78
G000315485	90.54
G000315505	84.34
G000315525	88.73
G000315565	81.24
G000315585	79.93
G000315795	89.29
G000316115	84.24
G000316515	89.45
G000316575	80.41
G000316605	85.74
G000316625	82.51
G000316645	82.57
G000316665	79.27
G000316685	86.72
G000317025	84.13
G000317045	83.62
G000317065	78.83
G000317085	87.72
G000317105	80.95
G000317125	84.28
G000317145	82.86
G000317205	79.24
G000317225	79.63
G000317245	80.52
G000317265	80.87
G000317285	80.98
G000317305	92.94
G000317435	80.9
G000317475	81.03
G000317495	83.66
G000317515	83.49
G000317535	81.87
G000317555	84.13
G000317575	83.72
G000317595	86.29
G000317615	83.25
G000317635	86.51
G000317655	87.04
G000317675	81.91
G000317795	87.44
G000317835	86.87
G000317855	87.4
G000317895	92.28
G000317935	90.33
G000317975	85.13
G000317995	90.08
G000318015	91.25
G000318095	85.07
G000318135	90.28
G000318255	88.04
G000318295	90.88
G000318335	91.66
G000319245	89.55
G000319385	57.41
G000319575	95.38
G000320345	86.76
G000320365	87.23
G000320405	85.97
G000320465	84.24
G000320945	91.4
G000321025	88.37
G000321165	87.25
G000321185	81.13
G000321205	84.03
G000321415	85.45
G000323285	84.32
G000323565	84.18
G000323585	84.39
G000323645	84.21
G000323725	84.14
G000323785	84.45
G000323825	84.23
G000324005	84.28
G000324145	84.26
G000324265	84.34
G000324305	84.59
G000324445	84.37
G000324485	84.86
G000324505	84.28
G000324625	84.35
G000324685	84.17
G000324725	84.27
G000324905	84.32
G000324985	84.25
G000325085	84.42
G000325145	84.22
G000325165	84.41
G000325245	84.41
G000325265	84.61
G000325285	84.76
G000325665	88.5
G000325705	86.85
G000325745	84.36
G000327045	84.41
G000327285	85.85
G000327485	87.19
G000327505	94.48
G000328305	89.45
G000328565	90.82
G000328625	88.27
G000328665	86.43
G000328685	84.94
G000328705	88.37
G000328765	87.1
G000328945	90.47
G000330705	89.98
G000330725	89.78
G000330745	88.35
G000330885	87.22
G000330925	81.98
G000331005	87.84
G000331025	87.08
G000331105	89.27
G000331225	92.62
G000331245	91.0
G000331285	90.88
G000331305	82.24
G000331515	85.23
G000331535	88.24
G000331575	84.21
G000331595	84.74
G000331715	84.32
G000331735	90.99
G000331995	87.53
G000332035	90.09
G000332055	86.15
G000332075	86.48
G000332095	82.6
G000332115	90.6
G000332135	81.52
G000332155	83.13
G000332175	85.93
G000332195	83.59
G000332215	82.15
G000332235	83.97
G000332255	81.32
G000332275	84.28
G000332295	82.59
G000332315	77.01
G000332335	75.91
G000332355	80.84
G000332515	92.34
G000332585	81.31
G000332735	85.79
G000332875	89.99
G000332975	91.23
G000332995	90.57
G000333015	91.83
G000333035	91.51
G000333235	89.01
G000333295	86.67
G000333335	89.09
G000333355	87.07
G000333395	90.7
G000333435	91.78
G000333455	86.61
G000333615	90.74
G000333895	88.05
G000334155	82.65
G000334215	88.67
G000334405	93.81
G000334455	90.33
G000334895	86.11
G000334955	92.07
G000335475	90.04
G000335715	90.0
G000335815	91.73
G000336255	86.86
G000336495	90.99
G000336555	88.19
G000336655	85.65
G000336675	85.47
G000336695	87.18
G000336715	85.52
G000336755	87.5
G000336875	85.17
G000336915	87.35
G000336935	85.44
G000336995	86.95
G000337035	85.04
G000337095	85.43
G000337195	84.36
G000337215	83.53
G000337275	86.71
G000337355	85.6
G000337375	86.49
G000337415	85.44
G000337455	86.23
G000337475	84.02
G000337515	85.7
G000337555	84.69
G000337575	85.36
G000337675	84.8
G000337695	83.2
G000337715	85.33
G000337735	85.83
G000337755	86.82
G000337775	87.94
G000337815	86.14
G000337895	84.02
G000338055	90.05
G000338295	88.95
G000338695	88.89
G000338775	87.62
G000340315	87.67
G000340375	87.27
G000340435	88.88
G000340565	80.59
G000340785	86.75
G000340795	89.61
G000340825	89.75
G000340865	87.55
G000340885	82.98
G000340905	89.67
G000340965	85.98
G000341005	85.76
G000341025	86.13
G000341065	85.25
G000341085	86.32
G000341105	84.31
G000341125	86.46
G000341145	85.94
G000341165	84.42
G000341185	83.9
G000341205	85.37
G000341345	87.78
G000341355	80.59
G000341385	80.34
G000341395	89.59
G000341545	88.19
G000341655	89.71
G000341695	90.44
G000341715	77.0
G000341735	82.57
G000341755	89.94
G000341795	90.78
G000341895	89.1
G000342045	89.85
G000342125	87.07
G000342165	90.69
G000342725	77.55
G000344135	91.89
G000344155	90.19
G000344275	90.4
G000344615	87.9
G000344725	87.28
G000344785	87.99
G000344805	86.11
G000346255	88.62
G000346295	86.39
G000346315	88.98
G000346425	87.95
G000346485	81.94
G000346505	86.86
G000346595	79.13
G000346615	86.6
G000347015	77.21
G000347175	85.75
G000347575	92.74
G000347595	89.46
G000347635	82.64
G000347695	83.52
G000347775	91.55
G000347835	86.9
G000347915	87.02
G000348525	87.47
G000348685	90.51
G000348725	92.48
G000348785	92.39
G000348805	94.64
G000348905	88.44
G000348925	87.63
G000348945	86.47
G000349205	91.55
G000349325	89.87
G000349545	90.17
G000349565	89.41
G000349585	89.25
G000349725	80.87
G000349745	94.51
G000349845	88.03
G000349945	91.22
G000349975	90.98
G000350105	56.63
G000350125	56.57
G000350145	93.16
G000350165	90.14
G000350305	91.63
G000350485	87.81
G000350525	90.7
G000350605	75.63
G000353285	87.12
G000353565	86.82
G000354175	86.16
G000355675	90.05
G000355765	86.26
G000355905	87.92
G000359605	87.13
G000363885	94.43
G000364165	85.66
G000364225	81.56
G000364325	90.05
G000364425	73.31
G000364605	92.09
G000364625	89.55
G000364745	88.1
G000364865	84.89
G000365025	91.26
G000367205	89.69
G000367345	90.65
G000367525	89.78
G000367925	83.84
G000368025	84.36
G000368565	83.05
G000368585	86.78
G000368625	84.76
G000368825	85.66
G000368865	84.68
G000368905	85.39
G000368925	82.73
G000369005	87.28
G000369105	84.54
G000369145	85.1
G000371425	84.19
G000371465	83.39
G000371705	89.01
G000371785	84.5
G000371805	94.33
G000371825	95.22
G000371925	90.77
G000372025	95.29
G000372065	90.02
G000372085	93.08
G000372125	89.14
G000372165	83.42
G000372185	94.9
G000372225	87.3
G000372265	93.99
G000372285	88.08
G000372385	88.71
G000372405	88.46
G000372425	90.25
G000372445	91.77
G000372465	89.68
G000372745	85.2
G000372825	86.18
G000372845	86.43
G000372865	86.29
G000372885	91.12
G000372925	87.06
G000372965	88.71
G000373005	87.94
G000373045	84.96
G000373105	86.36
G000373185	88.37
G000373205	90.75
G000373245	86.59
G000373265	86.77
G000373345	85.37
G000373365	85.28
G000373385	91.56
G000373485	87.91
G000373545	91.89
G000373565	89.19
G000373665	86.64
G000373745	89.09
G000373765	86.07
G000373785	90.4
G000373805	91.62
G000373885	88.77
G000373905	90.27
G000373925	86.93
G000373945	86.21
G000373965	89.18
G000373985	87.51
G000374005	88.48
G000374025	89.09
G000374045	84.5
G000374065	88.36
G000374085	88.07
G000374125	87.91
G000374145	89.38
G000374165	85.92
G000374305	89.56
G000374325	89.32
G000374345	83.34
G000374385	85.14
G000374405	90.55
G000374445	88.92
G000374465	90.44
G000374485	89.22
G000374525	88.93
G000374545	88.37
G000374565	82.97
G000374585	89.3
G000374625	91.08
G000374645	90.14
G000374805	86.88
G000374825	87.42
G000374845	87.57
G000375345	93.02
G000375365	88.87
G000375405	89.76
G000375425	90.62
G000375465	91.81
G000375485	90.28
G000375545	91.24
G000375645	88.84
G000375685	86.87
G000375725	90.27
G000375745	87.88
G000375765	87.37
G000375825	91.98
G000375865	91.34
G000376105	87.6
G000376125	88.96
G000376145	84.87
G000376165	87.71
G000376225	85.99
G000376245	89.53
G000376265	94.96
G000376385	87.88
G000376425	90.19
G000376445	85.87
G000376545	88.76
G000376565	89.28
G000376585	86.95
G000376645	88.62
G000376665	91.53
G000376785	87.56
G000376805	91.66
G000376825	93.17
G000376885	88.14
G000376945	89.49
G000376965	85.88
G000376985	86.83
G000377005	89.42
G000377505	85.52
G000377645	90.43
G000377705	82.09
G000377745	89.97
G000377765	85.5
G000377785	91.92
G000377885	92.09
G000377985	85.87
G000378005	92.51
G000378025	88.9
G000378045	85.89
G000378085	82.53
G000378105	90.44
G000378125	90.7
G000378145	84.66
G000378165	89.35
G000378185	88.16
G000378225	90.52
G000378245	90.24
G000378345	89.88
G000378385	88.43
G000378405	76.53
G000378425	86.37
G000378465	93.12
G000378485	88.51
G000378505	87.54
G000378625	83.27
G000378725	90.32
G000378745	87.4
G000378765	90.61
G000378865	94.87
G000378885	95.19
G000378905	94.49
G000378925	94.77
G000378965	86.82
G000379025	83.72
G000379125	87.91
G000379145	83.8
G000379165	87.26
G000379185	89.2
G000379225	90.21
G000379345	89.98
G000379365	86.45
G000379425	90.78
G000379445	91.08
G000379465	90.1
G000379485	89.58
G000379505	87.2
G000379525	85.1
G000379605	86.03
G000379625	91.0
G000379645	91.42
G000379665	91.57
G000379685	92.7
G000379705	90.24
G000379725	89.73
G000379765	86.98
G000379805	88.6
G000379825	90.7
G000379845	88.02
G000379865	91.55
G000379885	90.82
G000379905	89.93
G000379925	89.08
G000379945	88.64
G000379965	86.1
G000379985	85.8
G000380005	88.44
G000380025	87.84
G000380045	88.84
G000380065	89.51
G000380085	83.99
G000380105	85.12
G000380125	89.56
G000380165	86.49
G000380185	89.5
G000380225	83.32
G000380245	83.21
G000380485	92.03
G000380505	88.63
G000380565	83.49
G000380645	92.78
G000380705	90.5
G000380725	91.37
G000380785	91.5
G000380965	83.04
G000380985	89.78
G000381005	86.63
G000381025	86.26
G000381065	86.29
G000381085	86.77
G000381125	92.33
G000381265	89.93
G000381345	86.8
G000381365	89.35
G000381525	87.52
G000381545	86.72
G000381585	87.31
G000381605	87.98
G000381625	89.55
G000381665	87.33
G000381725	90.51
G000381745	84.83
G000381765	92.07
G000381785	88.68
G000381825	88.35
G000381885	88.85
G000381905	85.09
G000381925	89.88
G000381965	91.1
G000381985	88.44
G000382005	88.62
G000382085	86.27
G000382125	90.31
G000382145	80.89
G000382165	90.74
G000382185	90.18
G000382225	85.41
G000382245	88.45
G000382265	91.37
G000382305	88.29
G000382325	89.26
G000382345	89.6
G000382385	87.39
G000382425	90.08
G000382485	91.1
G000382645	93.37
G000382665	93.73
G000382685	93.4
G000382705	88.52
G000383095	91.55
G000383135	92.33
G000383155	92.21
G000383295	84.88
G000383315	92.67
G000383375	95.39
G000383395	91.6
G000383415	86.57
G000383435	82.39
G000383535	91.24
G000383675	91.04
G000383715	89.65
G000383735	91.31
G000383755	94.11
G000383795	82.22
G000383815	95.21
G000383835	90.77
G000383855	85.96
G000383875	79.12
G000383895	91.09
G000383915	89.07
G000383955	89.27
G000383975	84.13
G000384035	85.44
G000384075	86.79
G000384115	91.29
G000384135	89.18
G000384175	88.14
G000384195	81.91
G000384235	90.32
G000384315	91.23
G000384335	87.31
G000384355	91.81
G000384375	90.16
G000384395	89.18
G000384415	92.0
G000384475	87.44
G000384495	96.34
G000384535	95.29
G000384615	92.94
G000384635	91.81
G000384815	85.36
G000384935	95.55
G000384955	95.22
G000384965	81.36
G000384995	94.2
G000385035	95.3
G000385055	95.21
G000385115	95.89
G000385135	91.28
G000385175	88.71
G000385215	89.93
G000385295	89.86
G000385335	86.99
G000385395	80.34
G000385415	80.9
G000385435	81.69
G000385565	88.16
G000385635	88.75
G000385925	86.24
G000387765	86.38
G000388115	86.94
G000388175	71.05
G000389635	80.19
G000389715	91.63
G000389735	90.22
G000389965	90.33
G000389985	90.92
G000390185	89.56
G000390265	94.99
G000392435	91.14
G000393955	86.61
G000397065	91.53
G000397165	85.25
G000397205	88.82
G000397765	91.14
G000397885	89.33
G000398025	93.06
G000398305	89.72
G000398345	89.23
G000398765	91.09
G000398925	86.46
G000399765	91.97
G000399825	89.83
G000400505	85.39
G000400735	86.23
G000400795	85.3
G000400935	89.61
G000400955	90.81
G000401015	86.12
G000401175	92.45
G000401215	85.11
G000401255	89.22
G000401515	84.1
G000402075	92.61
G000402095	91.23
G000402115	88.98
G000402235	84.28
G000402275	91.43
G000402295	86.14
G000402355	90.16
G000402415	91.63
G000402455	91.0
G000402755	96.23
G000402795	96.5
G000402835	92.25
G000402875	92.89
G000403035	85.32
G000403075	87.7
G000403135	88.51
G000403215	85.18
G000403255	86.7
G000403275	87.33
G000403295	86.31
G000403315	85.3
G000403335	84.85
G000403355	86.55
G000403375	86.71
G000403395	82.43
G000403415	86.61
G000403435	84.69
G000403455	83.8
G000403475	88.09
G000403495	88.29
G000403645	86.11
G000403845	87.37
G000403885	86.34
G000403925	87.05
G000404025	89.32
G000404125	74.45
G000404165	76.71
G000404225	88.29
G000404345	85.2
G000404425	92.08
G000404445	87.23
G000404605	89.03
G000404665	88.37
G000404685	88.23
G000404705	88.51
G000404745	89.25
G000404925	90.38
G000405125	92.1
G000405145	91.69
G000405325	83.15
G000405625	89.52
G000405685	86.87
G000405805	95.56
G000405885	90.06
G000405945	93.57
G000406005	88.4
G000406785	88.7
G000406905	87.07
G000406925	83.94
G000406945	84.97
G000407165	85.86
G000407245	86.74
G000407285	88.29
G000407365	87.52
G000407485	87.58
G000407505	85.23
G000407545	86.72
G000407605	89.81
G000409565	86.47
G000409775	89.88
G000409815	85.31
G000410175	85.56
G000410215	85.44
G000410435	84.93
G000410475	85.32
G000410635	86.77
G000410815	92.79
G000410875	90.27
G000411115	88.93
G000411135	88.14
G000411155	90.38
G000411295	83.37
G000411355	88.32
G000411375	86.24
G000411515	85.09
G000411555	88.68
G000411915	90.03
G000412185	91.39
G000412695	87.86
G000412995	89.05
G000413015	89.18
G000413035	86.7
G000413055	91.97
G000413315	89.25
G000413415	84.81
G000414175	88.92
G000414195	90.05
G000414445	85.26
G000414465	84.12
G000414525	87.13
G000415005	87.83
G000415085	88.59
G000415145	87.45
G000415185	86.26
G000415565	89.49
G000415685	88.95
G000415945	80.14
G000415965	80.37
G000415985	80.62
G000416005	76.2
G000416025	82.23
G000416045	67.05
G000416085	75.7
G000416315	85.85
G000416985	90.53
G000417585	89.2
G000417695	87.2
G000417845	64.46
G000418365	89.88
G000418515	84.98
G000419445	92.4
G000419485	95.76
G000419525	90.57
G000419585	88.16
G000419685	89.37
G000420025	90.86
G000420045	92.84
G000420065	90.05
G000420085	88.27
G000420145	92.22
G000420205	83.08
G000420245	84.34
G000420265	91.55
G000420285	91.1
G000420305	90.57
G000420325	92.01
G000420345	90.5
G000420365	89.73
G000420385	94.72
G000420405	91.86
G000420425	90.87
G000420445	86.8
G000420465	87.26
G000420485	89.97
G000420505	86.61
G000420525	91.24
G000420545	92.29
G000420585	88.9
G000420605	90.21
G000420625	90.95
G000420645	91.54
G000420665	90.98
G000420705	86.5
G000420725	87.29
G000420745	90.01
G000420765	92.4
G000420805	91.04
G000420825	91.35
G000420845	90.41
G000420905	90.14
G000420945	90.94
G000421005	88.34
G000421045	92.03
G000421065	86.83
G000421105	90.9
G000421145	90.92
G000421165	91.85
G000421185	92.14
G000421225	91.04
G000421245	91.32
G000421265	88.65
G000421285	90.3
G000421325	92.6
G000421345	92.59
G000421405	91.77
G000421445	89.89
G000421465	91.07
G000421485	94.01
G000421525	91.86
G000421545	91.26
G000421565	92.02
G000421585	91.99
G000421605	93.23
G000421625	93.75
G000421665	84.47
G000421745	91.25
G000421765	88.95
G000421825	89.94
G000421885	84.82
G000421965	89.4
G000422085	87.29
G000422165	85.92
G000422205	88.34
G000422245	89.6
G000422265	89.47
G000422285	84.96
G000422305	88.08
G000422325	92.31
G000422345	91.72
G000422365	92.24
G000422385	92.48
G000422405	90.43
G000422425	84.44
G000422445	85.21
G000422465	86.97
G000422485	86.59
G000422505	86.16
G000422525	85.02
G000422565	90.69
G000422585	84.64
G000422625	87.7
G000422645	88.5
G000422665	88.8
G000422685	90.96
G000422705	89.82
G000422725	89.05
G000422745	91.81
G000422765	90.16
G000422785	87.97
G000422805	91.98
G000422825	90.78
G000422845	87.88
G000422865	87.37
G000422885	88.86
G000422905	85.92
G000422925	88.85
G000422945	90.39
G000422965	87.64
G000422985	92.38
G000423005	87.27
G000423025	91.87
G000423045	91.87
G000423085	90.06
G000423105	88.38
G000423125	91.63
G000423145	90.14
G000423165	93.58
G000423185	89.87
G000423205	90.41
G000423225	88.65
G000423245	89.19
G000423265	87.48
G000423305	87.58
G000423325	92.06
G000423345	89.17
G000423365	91.54
G000423385	89.25
G000423405	90.57
G000423425	92.57
G000423445	89.38
G000423465	89.84
G000423485	90.51
G000423505	92.13
G000423525	91.24
G000423565	89.6
G000423585	88.16
G000423605	87.52
G000423625	89.43
G000423645	89.54
G000423665	93.83
G000423705	88.7
G000423725	87.23
G000423745	88.7
G000423765	87.9
G000423785	85.51
G000423805	89.7
G000423825	89.58
G000423845	92.52
G000423865	93.24
G000423885	91.26
G000423905	94.46
G000423925	88.34
G000424025	88.33
G000424105	87.48
G000424145	88.41
G000424165	90.3
G000424185	89.81
G000424205	88.16
G000424265	90.12
G000424365	88.28
G000424385	88.13
G000424425	86.21
G000424445	85.42
G000424465	89.65
G000424485	90.21
G000424525	91.92
G000424545	87.57
G000424585	89.47
G000424605	89.34
G000424625	93.43
G000424665	89.65
G000424785	86.77
G000424825	87.71
G000424845	86.06
G000424965	87.52
G000424985	86.25
G000425005	89.9
G000425065	90.46
G000425105	92.17
G000425125	85.27
G000425145	90.03
G000425165	86.62
G000425185	87.71
G000425205	87.49
G000425225	85.47
G000425265	88.04
G000425285	89.02
G000425305	87.92
G000425345	90.66
G000425365	92.76
G000425385	91.24
G000425405	87.79
G000425465	91.57
G000425505	87.8
G000425525	91.0
G000425545	85.7
G000425565	93.8
G000425585	90.42
G000425625	87.39
G000425645	91.02
G000425685	90.37
G000425705	87.7
G000425725	89.71
G000425825	90.36
G000425845	89.17
G000425865	85.52
G000425885	89.22
G000425905	91.27
G000425945	91.21
G000426005	91.1
G000426045	92.64
G000426085	81.35
G000426125	91.76
G000426225	84.58
G000426285	86.83
G000426305	86.36
G000426325	88.47
G000426365	91.78
G000426385	90.01
G000426445	90.35
G000426465	89.76
G000426485	88.33
G000426505	90.99
G000426525	91.07
G000426545	84.86
G000426565	90.09
G000426585	88.76
G000426605	86.56
G000426625	85.51
G000426645	91.43
G000426665	90.44
G000426685	90.53
G000426705	91.75
G000426725	88.52
G000426745	83.16
G000426765	86.86
G000426805	86.88
G000426825	92.0
G000426885	85.41
G000426925	80.75
G000427095	90.18
G000427295	85.81
G000427335	88.31
G000427365	82.82
G000427385	84.02
G000427405	85.77
G000427425	91.12
G000427445	84.34
G000427565	90.97
G000427625	86.14
G000427645	89.67
G000427665	89.33
G000427685	86.77
G000427785	90.01
G000427805	83.97
G000427825	89.71
G000427865	90.56
G000427885	88.5
G000427905	86.87
G000427965	89.62
G000428045	87.93
G000428065	80.55
G000428125	89.95
G000428145	86.92
G000428165	83.25
G000428305	91.77
G000428345	93.82
G000428465	86.86
G000428525	92.33
G000428565	91.0
G000428585	83.6
G000428685	87.94
G000428705	91.51
G000428745	86.91
G000428765	92.19
G000428785	87.51
G000428805	88.14
G000428825	90.25
G000428845	90.88
G000428865	86.56
G000428885	91.04
G000428905	86.39
G000428925	85.74
G000428945	89.65
G000428985	91.56
G000429005	91.79
G000429025	89.75
G000429045	89.76
